Term_Key,Language_0 (CN),Language_1 (EN),Language_2 (JP),Language_3 (RU),Korean
Card_Info/20051,与所有己方单位签订<Demage>【灵契】。目标身上每拥有1层【灵契】额外获得<#BuffCount#>【灵压】(无法对自己使用),Sign <Demage> [Spiritual Pacts] with all allies. Gain <#BuffCount#> extra [Spiritual Pressure] for every 1 stack of [Spiritual Pact] on the target (Cannot target self),すべての味方ユニットと<Demage>「霊契」を結ぶ。ターゲットに「霊契」が1ストック付与されているごとに、追加で<#BuffCount#>「霊圧」を得る（自分に使用できない）。,Заключает <Demage> [Духовный пакт] со всеми союзниками. Получает <#BuffCount#> дополнительного [Духовное давление] за каждый заряд [Духовный пакт] на цели (нельзя на себя).,모든 아군 유닛과 <Demage>의 【영계】를 맺습니다. 대상이 보유한 【영계】 1중첩당 추가로 【영압】을 <#BuffCount#>만큼 획득합니다 (자신에게 사용 불가).
Card_Info/52,所有敌人减少<$DemagePresent$>%当前生命值，获得<#CardCount#>张《僵尸之血》（遗忘）,All enemies lose <$DemagePresent$>% Current HP. Grant <#CardCount#> <Zombie Blood> (Forgotten),すべての敵が現在体力の<$DemagePresent$>%分を失い、『僵屍の血』（忘却）を<#CardCount#>枚得る。,Все враги теряют <$DemagePresent$>% текущего здоровья. Дает <#CardCount#> <Кровь зомби> ([Забвение]).,모든 적의 현재 생명력을 <$DemagePresent$>% 감소시키고 《강시의 피》(망각) <#CardCount#>장을 획득합니다.
Card_Info/53,为指定单位损失<$HpNeed$>%最大生命值，并获得一半的【灵压】,The designated unit loses <$HpNeed$>% Max HP and gains half amount of the [Spiritual Pressure],ターゲットが体力上限の<$HpNeed$>%を失い、その半分の「霊圧」を得る。,Указанный юнит теряет <$HpNeed$>% макс. здоровья и получает половину [Духовное давление].,지정된 유닛의 최대 생명력을 <$HpNeed$>% 잃게 하고 절반의 【영압】을 획득합니다.
Card_Info/54,发动斩断生死的攻击，对目标及左右单位造成<Demage>。\n自身每损失1点生命值，该伤害提高<$CostHpDemage$>%,"Launch a blow to sever life and death, dealing <Demage> to the target and its adjacent units. \nFor every 1 point of HP lost, +<$CostHpDemage$>% damage dealt",生死をも斬る攻撃を発動し、ターゲットとその隣接ユニットに<Demage>ダメージを与える。\n自身が1体力失っているごとに、このダメージは<$CostHpDemage$>%増加する。,"Наносит удар, рассекающий жизнь и смерть, нанося <Demage> цели и соседним юнитам.",생사를 가르는 공격을 발동하여 대상 및 좌우 유닛에게 <Demage>의 피해를 입힙니다.\n자신이 잃은 생명력 1당 피해량이 <$CostHpDemage$>% 증가합니다.
Card_Info/55,目标单位执行<#Count#>次【自身抽牌】\n（无法对自身使用）,The target performs [Self Draw] <#Count#> times\n(Cannot be used on self),ターゲットは「単体ドロー」を<#Count#>回実行する。\n（自身に使用不可）,Цель выполняет [Свой добор] <#Count#> раз.\n（Не может быть использовано на себе）,대상 유닛이 <#Count#>회 【자신 드로우】를 실행합니다.\n(자신에게 사용 불가)
Card_Info/10055,目标单位执行<#Count#>次【自身抽牌】\n对生命值大于<$HpPresentNeed$>%的目标使用时，将一张费用+1的绘涩加入手牌\n（无法对自身使用）,"The target performs [Self Draw] <#Count#> times\nWhen used on a target with ><$HpPresentNeed$>% HP, add a Cost+1 <Eros> to hand\n(Cannot be used on self)",ターゲットは「単体ドロー」を<#Count#>回実行する。\n体力が<$HpPresentNeed$>%超過のターゲットに使用する場合、コスト+1の絵渋1枚を手札に加える。\n（自身に使用不可）,Цель выполняет [Свой добор] <#Count#> раз.\n（Не может быть использовано на себе）,"대상 유닛이 <#Count#>회 【자신 드로우】를 실행합니다.\n생명력이 <$HpPresentNeed$>% 이상인 대상에게 사용할 경우, 비용이 +1된 《춘화》 1장을 손패에 추가합니다.\n(자신에게 사용 불가)"
Card_Info/20055,目标单位执行<#Count#>次【自身抽牌】\n对满行动次数的目标使用时，将一张费用+1的绘涩加入手牌\n（无法对自身使用）,"The target performs [Self Draw] <#Count#> times\nWhen used on a target with full AP, add a Cost+1 <Eros> to hand\n(Cannot be used on self)",ターゲットは「単体ドロー」を<#Count#>回実行する。\n行動回数が最大のターゲットに使用する場合、コスト+1の絵渋1枚を手札に加える。\n（自身に使用不可）,Цель выполняет [Свой добор] <#Count#> раз.\n（Не может быть использовано на себе）,"대상 유닛이 <#Count#>회 【자신 드로우】를 실행합니다.\n행동 횟수가 가득 찬 대상에게 사용할 경우, 비용이 +1된 《춘화》 1장을 손패에 추가합니다.\n(자신에게 사용 불가)"
Card_Info/56,以自身心欲化作泉水激昂而出，对目标单位造成<Demage>。并【标记】,"Channel the inner desires into a surging spring, dealing <Demage> to the target. Also [Mark] the target",自身の欲望を泉の水に変えて湧き出させる。ターゲットに<Demage>ダメージを与え、「マーク」する。,"Направляет внутренние желания в бурлящий источник, нанося <color=#6196FE>【<Demage> ед. урона картой】</color> цели. Также [Помечает] цель.",자신의 심욕을 샘물처럼 솟구치게 하여 대상 유닛에게 <Demage>의 피해를 입힙니다. 그리고 【표식】을 남깁니다.
Card_Info/10056,以自身心欲化作泉水激昂而出，对目标单位造成<Demage>。并【标记】\n所有己方单位，每有一层正面buff，该伤害提高<$DemageUp$>%(独立乘区),"Channel desires into a surging spring, dealing <Demage> to the target. [Mark] the target\nFor every stack of buffs on allies, +<$DemageUp$>% damage (independent multiplier)",自身の欲望を泉の水に変えて湧き出させる。ターゲットに<Demage>ダメージを与え、「マーク」する。\nすべての味方ユニットにバフが1ストック付与されているごとに、このダメージが<$DemageUp$>%増加する（個別強化）。,"Направляет желания в бурлящий источник, нанося <color=#6196FE>【<Demage> ед. урона картой】</color> цели. [Помечает] цель.",자신의 심욕을 샘물처럼 솟구치게 하여 대상 유닛에게 <Demage>의 피해를 입힙니다. 그리고 【표식】을 남깁니다.\n모든 아군 유닛이 보유한 이로운 버프 1중첩당 피해량이 <$DemageUp$>% 증가합니다 (독립 곱연산).
Card_Info/20056,以自身心欲化作泉水激昂而出，对目标单位造成<Demage>。并【标记】\n同时使自身进入涩涩状态，受到任意伤害后，对随机敌人释放《心欲流泉》,"Channel desires into a spring, dealing <Demage> to the target. [Mark] the target\nEnter a horny state, using <Fountain of Desires> on a random enemy on being hit",自身の欲望を泉の水に変えて湧き出させる。ターゲットに<Demage>ダメージを与え、「マーク」する。\n自身がメロメロ状態になり、ダメージを受けると、ランダムな敵に『心欲流泉』を発動する。,"Направляет желания в источник, нанося <color=#6196FE>【<Demage> ед. урона картой】</color> цели. [Помечает] цель.","자신의 심욕을 샘물로 화해 격렬하게 뿜어내어 대상에게 <Demage>의 피해를 입히고 【표식】을 부여합니다.\n동시에 자신을 춘화 상태로 만들며, 임의의 피해를 입은 후 무작위 적에게 《심욕류천》을 시전합니다."
Card_Info/57,以自身花粉引燃的妖火，对目标及左右单位造成<Demage>，并【虚弱】,"Ignite demonic flames with pollen, dealing <Demage> to the target and its adjacent units and inflicting [Asthenia]",自分の花粉を燃やした炎、ターゲットとその隣接ユニットに<Demage>ダメージを与え、「衰弱」を付与する。,"Поджигает демоническое пламя пыльцой, нанося <color=#6196FE>【<Demage> ед. урона картой】</color> цели и соседним юнитам и накладывая [Астения]",자신의 꽃가루로 요화에 불을 붙여 대상 및 좌우 유닛에게 <Demage>의 피해를 입히고 【허약】을 부여합니다.
Card_Info/10057,以自身花粉引燃的妖火，对目标及左右单位造成<Demage>，并【眩晕】,"Ignite demonic flames with pollen, dealing <Demage> to the target and its adjacent units and inflicting [Stun]",自分の花粉を燃やした炎、ターゲットとその隣接ユニットに<Demage>ダメージを与え、「スタン」を付与する。,"Поджигает демоническое пламя пыльцой, нанося <Demage> цели и соседним юнитам и накладывая [Оглушение].",자신의 꽃가루로 요화에 불을 붙여 대상 및 좌우 유닛에게 <Demage>의 피해를 입히고 【기절】시킵니다.
Card_Info/20057,以自身花粉引燃的妖火，对目标及左右单位造成<#Count#>次<Demage>，并【虚弱】,"Ignite demonic flames with pollen, dealing <Demage> to the target and its adjacent units <#Count#> times and inflicting [Asthenia]",自分の花粉を燃やした炎、ターゲットとその隣接ユニットに<Demage>ダメージを<#Count#>回与え、「衰弱」を付与する。,"Поджигает демоническое пламя пыльцой, нанося <Demage> цели и соседним юнитам <#Count#> раз и накладывая [Астения].",자신의 꽃가루로 요화에 불을 붙여 대상 및 좌우 유닛에게 <#Count#>회 <Demage>의 피해를 입히고 【허약】을 부여합니다.
Card_Info/58,折断自己的一节妖枝，所有己方单位获得<Demage>,Snap off a branch to grant <Demage> to all allied units,自分の枝を折り、すべての味方ユニットが<Demage>を得る。,"Отламывает ветвь, давая <Demage> всем союзным юнитам.",자신의 요지 한 마디를 꺾어 모든 아군 유닛이 <Demage>를 획득합니다.
Card_Info/10058,折断自己的一节妖枝，所有己方单位获得<Demage>，自身相邻的2名随从获得护盾翻倍，并解除一种异常状态,Snap off a branch to grant <Demage> to all allied units. The 2 adjacent minions gain 2x Shield and remove 1 debuff,自分の枝を折り、すべての味方ユニットが<Demage>を得る。自身と隣接するミニオン2名は2倍のシールドを得て、1種のデバフを解除する。,"Отламывает ветвь, давая <Demage> всем союзным юнитам. 2 соседних миньона получают двойной щит и снимают 1 дебафф.",자신의 요지 한 마디를 꺾어 모든 아군 유닛이 <Demage>를 획득하고 자신과 인접한 추종자 2명의 보호막을 2배로 만들며 1가지 상태 이상을 해제합니다.
Card_Info/20058,折断自己的一节妖枝，所有己方单位获得<Demage>，并获得一层【抵抗】,Snap off a branch to grant <Demage> and 1 stack of [Resistance] to all allied units,自分の枝を折り、すべての味方ユニットが<Demage>を得て、「抵抗」を1ストック得る。,"Отламывает ветвь, давая <Demage> и 1 заряд [Сопротивление] всем союзным юнитам.",자신의 요지 한 마디를 꺾어 모든 아군 유닛이 <Demage>를 획득하고 【저항】 1중첩을 획득합니다.
Card_Info/59,生成<#SwordCost#>把【飞剑】。\n【飞剑：3】执行一次【全局抽牌】,Spawn <#SwordCost#> [Flying Swords].\n [Flying Swords: 3] Perform a [Random Draw],<#SwordCost#>本の「飛剣」を召喚する。\n「飛剣：3」「全体ドロー」を1回実行する。,Создает <#SwordCost#> [Летающих мечей].\n【Летающий меч: 3】 выполняет 1 【Общее взятие карты】.,<#SwordCost#>자루의 【비검】을 생성합니다.\n【비검: 3】 【전체 드로우】를 1회 실행합니다.
Card_Info/10059,生成<#SwordCost#>把【飞剑】\n【飞剑：3】执行一次【全局抽牌】\n【飞剑：4】执行一次【自身抽牌】,Spawn <#SwordCost#> [Flying Swords].\n [Flying Swords: 3] Perform a [Random Draw]\n [Flying Swords: 4] Perform a [Self Draw],<#SwordCost#>本の「飛剣」を召喚する。\n「飛剣：3」「全体ドロー」を1回実行する。\n「飛剣：4」「単体ドロー」を1回実行する。,Создает <#SwordCost#> [Летающих мечей]\n【Летающий меч: 3】 выполняет 1 【Общее взятие карты】.\n【Летающий меч: 4】 выполняет 1 【Собственное взятие карты】.,<#SwordCost#>자루의 【비검】을 생성합니다.\n【비검: 3】 【전체 드로우】를 1회 실행합니다.\n【비검: 4】 【자신 드로우】를 1회 실행합니다.
Card_Info/20059,生成<#SwordCost#>把【飞剑】。\n【飞剑：3】执行一次【全局抽牌】,Spawn <#SwordCost#> [Flying Swords].\n [Flying Swords: 3] Perform a [Random Draw],<#SwordCost#>本の「飛剣」を召喚する。\n「飛剣：3」「全体ドロー」を1回実行する。,Создает <#SwordCost#> [Летающих мечей].\n【Летающий меч: 3】 выполняет 1 【Общее взятие карты】.,<#SwordCost#>자루의 【비검】을 생성합니다.\n【비검: 3】 【전체 드로우】를 1회 실행합니다.
Card_Info/60,以心御剑，对随机敌人造成<Demage>（优先【标记】）\n【飞剑：3】消耗3把飞剑额外追加3次伤害,"Command swords with psychic power, dealing <Demage> to a random enemy (prioritizing [Marked] targets)\n[Flying Swords: 3] Consume 3 swords to deal 3 extra hits",心で剣を操り、ランダムな敵に<Demage>ダメージを与える（優先的に「マーク」する）。\n「飛剣：3」飛剣を3本消費して追加でダメージを3回与える。,"Управляет мечами силой разума, нанося <Demage> случайному врагу (приоритет [Помеченным]).\n【Летающий меч: 3】 потребляет 3 летающих меча, чтобы дополнительно нанести урон ещё 3 раза.",마음으로 검을 부려 무작위 적에게 <Demage>의 피해를 입힙니다 (【표식】 우선).\n【비검: 3】 비검 3자루를 소모하여 추가로 3회 피해를 입힙니다.
Card_Info/10060,以心御剑，对随机敌人造成<Demage>（优先【标记】）\n【飞剑：3】消耗3把飞剑额外追加3次伤害,"Command swords with psychic power, dealing <Demage> to a random enemy (prioritizing [Marked] targets)\n[Flying Swords: 3] Consume 3 swords to deal 3 extra hits",心で剣を操り、ランダムな敵に<Demage>ダメージを与える（優先的に「マーク」する）。\n「飛剣：3」飛剣を3本消費して追加でダメージを3回与える。,"Управляет мечами силой разума, нанося <Demage> случайному врагу (приоритет [Помеченным]).\n【Летающий меч: 3】 потребляет 3 летающих меча, чтобы дополнительно нанести урон ещё 3 раза.",마음으로 검을 부려 무작위 적에게 <Demage>의 피해를 입힙니다 (【표식】 우선).\n【비검: 3】 비검 3자루를 소모하여 추가로 3회 피해를 입힙니다.
Card_Info/20060,对随机敌人造成<Demage>(优先【标记】)\n【飞剑：2】消耗2把飞剑额外追加2次伤害\n【飞剑：3】消耗3把飞剑额外追加3次伤害,Deal <Demage> to a random enemy (prioritizing [Marked] ones)\n[Flying Swords: 2] Spend 2 swords to deal 2 extra hits\n[Flying Swords: 3] Spend 3 swords to deal 3 extra hits,ランダムな敵に<Demage>ダメージを与える（優先的に「マーク」する）。\n「飛剣：2」飛剣を2本消費して追加でダメージを2回与える。\n「飛剣：3」飛剣を3本消費して追加でダメージを3回与える。,"Наносит <Demage> случайному врагу (приоритет [Помеченным]).\n【Летающий меч: 2】 потребляет 2 летающих меча, чтобы дополнительно нанести урон ещё 2 раза.\n【Летающий меч: 3】 потребляет 3 летающих меча, чтобы дополнительно нанести урон ещё 3 раза.",무작위 적에게 <Demage>의 피해를 입힙니다 (【표식】 우선).\n【비검: 2】 비검 2자루를 소모하여 추가로 2회 피해를 입힙니다.\n【비검: 3】 비검 3자루를 소모하여 추가로 3회 피해를 입힙니다.
Card_Info/61,凝水成鳞，为自身及左右单位添加<Demage>护盾。,,,,물을 비늘로 응집하여 자신 및 좌우 유닛에게 <Demage>의 보호막을 추가합니다.
Card_Info/10061,凝水成鳞，为自身及左右单位添加<Demage>护盾。手中每有一张【待机卡牌】，获得护盾提高<$ShieldPresent$>,,,,물을 비늘로 응집하여 자신 및 좌우 유닛에게 <Demage>의 보호막을 추가합니다. 손에 있는 【대기 카드】 1장당 획득하는 보호막이 <$ShieldPresent$> 증가합니다.
Card_Info/20061,凝水成鳞，为自身及左右单位添加<Demage>护盾。尝试丢弃<#CardDrop#>张《摆烂》，额外获得<#BuffCount#>【抵抗】,,,,물을 비늘로 응집하여 자신 및 좌우 유닛에게 <Demage>의 보호막을 추가합니다. 《농땡이》 <#CardDrop#>장을 버리려 시도하고 추가로 【저항】을 <#BuffCount#>만큼 획득합니다.
Card_Info/62,疾驰回旋，对指定敌人造成<Demage>，同时自身获得<#BuffCount#>【嘲讽】,,,,"질주하며 회전하여 지정된 적에게 <Demage>의 피해를 입히고, 동시에 【도발】을 <#BuffCount#>만큼 획득합니다."
Card_Info/10062,疾驰回旋，对指定敌人造成<Demage>，同时自身获得<#BuffCount#>【嘲讽】,,,,"질주하며 회전하여 지정된 적에게 <Demage>의 피해를 입히고, 동시에 【도발】을 <#BuffCount#>만큼 획득합니다."
Card_Info/20062,疾驰回旋，对指定敌人造成<Demage>，同时自身获得<#BuffCount#>【嘲讽】和【执念】,,,,"질주하며 회전하여 지정된 적에게 <Demage>의 피해를 입히고, 동시에 【도발】과 【집념】을 <#BuffCount#>만큼 획득합니다."
Card_Info/63,翻起肚皮，晒太阳，装死，恢复<$Heal$>%生命值,,,,배를 뒤집고 햇볕을 쬐며 죽은 척하여 생명력을 <$Heal$>% 회복합니다.
Card_Info/64,用根须【汲取】所有敌人<Demage>点最大生命值,Use roots to [Drain] <Demage> points of Max HP from all enemies,根ですべての敵から<Demage>体力上限を「吸収」する。,Корнями [Осушает] <Demage> макс. здоровья у всех врагов.,뿌리로 모든 적의 최대 생명력을 <Demage>만큼 【흡수】합니다.
Card_Info/10064,用根须【汲取】所有敌人<Demage>点最大生命值，并获得一张《僵尸之血》,Use roots to [Drain] <Demage> points of Max HP from all enemies and add 1 <Zombie Blood> to hand,根ですべての敵から<Demage>体力上限を「吸収」し、『僵屍の血』を1枚得る。,Корнями [Осушает] <Demage> макс. здоровья у всех врагов и добавляет 1 <Кровь зомби> в руку.,뿌리로 모든 적의 최대 생명력을 <Demage>만큼 【흡수】하고 《강시의 피》 1장을 획득합니다.
Card_Info/20064,用根须【汲取】所有敌人<Demage>点最大生命值,Use roots to [Drain] <Demage> points of Max HP from all enemies,根ですべての敵から<Demage>体力上限を「吸収」する。,Корнями [Осушает] <Demage> макс. здоровья у всех врагов.,뿌리로 모든 적의 최대 생명력을 <Demage>만큼 【흡수】합니다.
Card_Info/65,凝结成木之巨龙吞向目标，对目标造成<Demage>,,,,거대한 나무 용으로 응집하여 대상을 삼키고 <Demage>의 피해를 입힙니다.
Card_Info/10065,凝结成木之巨龙吞向目标，对目标造成<Demage>\n若敌方单位【龙威】均小于自身时，使用后获得<#BuffCount_1#>【龙威】，整场战斗仅触发一次。,,,,거대한 나무 용으로 응집하여 대상을 삼키고 <Demage>의 피해를 입힙니다.\n적 유닛의 【용위】가 모두 자신보다 낮을 때 사용하면 【용위】를 <#BuffCount_1#>중첩만큼 획득합니다 (전투당 1회만 발동).
Card_Info/20065,凝结成木之巨龙吞向目标，对目标造成<Demage>，同时自身及左右单位获得<#BuffCount#>【狂性】,,,,거대한 나무 용으로 응집하여 대상을 삼키고 <Demage>의 피해를 입힙니다. 동시에 자신 및 좌우 유닛이 【광기】를 <#BuffCount#>만큼 획득합니다.
Card_Info/66,将雷霆之力萦绕指尖，对目标造成<Demage>，并获得<#BuffCount#>【雷反】（视为普攻）,Channel the power of lightning through the fingertip to deal <Demage> to the target and grant <#BuffCount#> [Lightning Counter] (Counted as a Basic Attack),雷霆の力を指に纏い、ターゲットに<Demage>ダメージを与え（通常攻撃としてみなす）、<#BuffCount#>「雷返し」を得る。,"Проводит силу молнии через кончик пальца, нанося <Demage> цели и давая <#BuffCount#> [Молниевый контрудар] (считается базовой атакой).",천둥의 힘을 손끝에 감아 대상에게 <Demage>의 피해를 입히고 【뇌반】을 <#BuffCount#>만큼 획득합니다 (일반 공격으로 간주).
Card_Info/10066,将雷霆之力萦绕指尖，对目标造成<Demage>，并获得<#BuffCount#>【雷反】（视为普攻）,Channel the power of lightning through the fingertip to deal <Demage> to the target and grant <#BuffCount#> [Lightning Counter] (Counted as a Basic Attack),雷霆の力を指に纏い、ターゲットに<Demage>ダメージを与え（通常攻撃としてみなす）、<#BuffCount#>「雷返し」を得る。,"Проводит силу молнии через кончик пальца, нанося <Demage> цели и давая <#BuffCount#> [Молниевый контрудар] (считается базовой атакой).",천둥의 힘을 손끝에 감아 대상에게 <Demage>의 피해를 입히고 【뇌반】을 <#BuffCount#>만큼 획득합니다 (일반 공격으로 간주).
Card_Info/20066,造成<Demage>（视为普攻）并获得<#BuffCount#>【雷反】，命中【标记】/【眩晕】/【虚弱】目标后，费用+1返回手牌,"Deal <Demage> (as Basic Attacks) and grant <#BuffCount#> [Lightning Counter]. On hitting targets with [Mark] / [Stun] / [Asthenia] tags, Cost+1 and return to hand",<Demage>ダメージを与え（通常攻撃としてみなす）、<#BuffCount#>「雷返し」を得る。「マーク」/「スタン」/「衰弱」のターゲットに命中すると、コスト+1して手札に戻す。,Наносит <color=#6196FE>【<Demage> ед. урона картой】</color> (как базовые атаки) и дает <#BuffCount#> [Молниевый контрудар]. При попадании по целям с метками [Метка]/[Оглушение]/[Астения] стоимость +1 и возврат в руку.,<Demage>의 피해를 입히고(일반 공격으로 간주) 【뇌반】을 <#BuffCount#>만큼 획득합니다. 【표식】/【기절】/【허약】 상태인 대상에게 적중 시 비용이 +1 되어 손패로 돌아옵니다.
Card_Info/67,以潮水般的绝望淹没神魂，自身损失<$CostHp$>%当前生命值（不致死），使目标获得<Demage>【法穿】并【虚弱】,Drown the soul in waves of despair. Lose <$CostHp$>% Current HP (non-lethal) to inflict on target <Demage> [Magic Penetration] and [Asthenia],潮のような絶望で神魂を水没させ、自身が現在体力の<$CostHp$>%分を失い（撃破不能）、ターゲットに<Demage>「法術貫通」と「衰弱」を付与する。,"Топит душу в волнах отчаяния. Теряет <$CostHp$>% текущего здоровья (не смертельно), чтобы наложить на цель <Demage> [Пробивание магии] и [Астения].",밀물 같은 절망으로 신혼을 잠기게 하여 자신의 현재 생명력 <$CostHp$>%를 잃고(이 효과로 사망하지 않음) 대상이 <Demage>의 【파법】을 획득하게 하며 【허약】을 부여합니다.
Card_Info/10067,以潮水般的绝望淹没神魂，自身损失<$CostHp$>%当前生命值（不致死），使目标获得<Demage>【法穿】并【眩晕】,Drown the soul in waves of despair. Lose <$CostHp$>% Current HP (non-lethal) to inflict on target <Demage> [Magic Penetration] and [Stun],潮のような絶望で神魂を水没させ、自身が現在体力の<$CostHp$>%分を失い（撃破不能）、ターゲットに<Demage>「法術貫通」と「スタン」を付与する。,"Топит душу в волнах отчаяния. Теряет <$CostHp$>% текущего здоровья (не смертельно), чтобы наложить на цель <Demage> [Пробивание магии] и [Оглушение].",밀물 같은 절망으로 신혼을 잠기게 하여 자신의 현재 생명력 <$CostHp$>%를 잃고(이 효과로 사망하지 않음) 대상이 <Demage>의 【파법】을 획득하게 하며 【기절】 상태로 만듭니다.
Card_Info/20067,以潮水般的绝望淹没神魂，自身损失<$CostHp$>%当前生命值（不致死），使目标获得<Demage>【法穿】并【虚弱】,Drown the soul in waves of despair. Lose <$CostHp$>% Current HP (non-lethal) to inflict on target <Demage> [Magic Penetration] and [Asthenia],潮のような絶望で神魂を水没させ、自身が現在体力の<$CostHp$>%分を失い（撃破不能）、ターゲットに<Demage>「法術貫通」と「衰弱」を付与する。,"Топит душу в волнах отчаяния. Теряет <$CostHp$>% текущего здоровья (не смертельно), чтобы наложить на цель <Demage> [Пробивание магии] и [Астения].",밀물 같은 절망으로 신혼을 잠기게 하여 자신의 현재 생명력 <$CostHp$>%를 잃고(이 효과로 사망하지 않음) 대상이 <Demage>의 【파법】을 획득하게 하며 【허약】을 부여합니다.
Card_Info/68,将自身执念如潮水般拂过所有单位，自身损失<$CostHp$>%当前生命值，对所有敌方单位造成<Demage>,Sweeps all units with waves of obsession. Lose <$CostHp$>% Current HP to deal <Demage> to all enemy units,自分の執念で潮のようにすべてのユニットを撫で、自身が現在体力の<$CostHp$>%分を失い、すべての敵ユニットに<Demage>ダメージを与える。,"Сметает всех юнитов волнами одержимости. Теряет <$CostHp$>% текущего HP, нанося <Demage> всем вражеским юнитам",자신의 집념을 밀물처럼 모든 유닛에게 스치게 하여 자신의 현재 생명력 <$CostHp$>%를 잃고 모든 적 유닛에게 <Demage>의 피해를 입힙니다.
Card_Info/69,以己方单位为养料，从其身上【汲取】<Demage>点攻击力，并为其添加<#BuffCount#>【虚弱】(无法对自身使用),Treat an allied unit as nourishment to [Drain] <Demage> Attack and inflict <#BuffCount#> [Asthenia] (Cannot be used on self),味方ユニットを養分にして、<Demage>攻撃力を「吸収」し、<#BuffCount#>「衰弱」を付与する。（自身に使用できない）,"Использует союзного юнита как пищу, [Осушая] <Demage> атаки и накладывая <#BuffCount#> [Астения] (нельзя на себя).","아군 유닛을 양분으로 삼아 그 유닛에게서 <Demage>의 공격력을 【흡수】하고, 해당 유닛에게 【허약】을 <#BuffCount#>만큼 부여합니다 (자신에게 사용 불가)."
Card_Info/10069,以己方单位为养料，从其身上【汲取】<Demage>点攻击力，并为其添加<#BuffCount#>【虚弱】(无法对自身使用),Treat an allied unit as nourishment to [Drain] <Demage> Attack and inflict <#BuffCount#> [Asthenia] (Cannot be used on self),味方ユニットを養分にして、<Demage>攻撃力を「吸収」し、<#BuffCount#>「衰弱」を付与する。（自身に使用できない）,"Использует союзного юнита как пищу, [Осушая] <Demage> атаки и накладывая <#BuffCount#> [Астения] (нельзя на себя).","아군 유닛을 양분으로 삼아 그 유닛에게서 <Demage>의 공격력을 【흡수】하고, 해당 유닛에게 【허약】을 <#BuffCount#>만큼 부여합니다 (자신에게 사용 불가)."
Card_Info/20069,以目标单位为养料，从其身上【汲取】<Demage>点攻击力，并【虚弱】(无法对自身使用),Treat the target as nourishment to [Drain] <Demage> Attack and inflict [Asthenia] (Cannot be used on self),ターゲットユニットを養分にして、<Demage>攻撃力を「吸収」し、「衰弱」を付与する。（自身に使用できない）,"Использует цель как пищу, [Осушая] <Demage> атаки и накладывая [Астения] (нельзя на себя).",대상 유닛을 양분으로 삼아 그 몸에서 <Demage>의 공격력을 【흡수】하고 【허약】을 부여합니다 (자신에게 사용 불가).
Card_Info/70,展开毒瘴之域，对相邻的1/2名敌人造成<Demage>，并施加<#BuffCount#>【猛毒】,,,,"독장의 영역을 전개하여 인접한 적 1/2명에게 <Demage>의 피해를 입힌 뒤, 【맹독】을 <#BuffCount#>만큼 부여합니다."
Card_Info/10070,展开毒瘴之域，对相邻的1/2名敌人造成<Demage>，并施加<#BuffCount#>【猛毒】\n本次战斗每死亡一名单位额外叠加<#BuffCount_1#>【猛毒】,,,,"독장의 영역을 전개하여 인접한 적 1/2명에게 <Demage>의 피해를 입힌 뒤, 【맹독】을 <#BuffCount#>만큼 부여합니다.\n이번 전투에서 유닛이 1명 사망할 때마다 추가로 【맹독】을 <#BuffCount_1#>중첩 추가로 부여합니다."
Card_Info/20070,展开毒瘴之域，对相邻的1/2名敌人造成<Demage>，并施加<#BuffCount#>【猛毒】和<#BuffCount_1#>【溃散】,,,,"독장의 영역을 전개하여 인접한 적 1/2명에게 <Demage>의 피해를 입힌 뒤, 【맹독】을 <#BuffCount#>만큼 부여하고, 【궤산】을 <#BuffCount_1#>중첩만큼 부여합니다."
Card_Info/71,幼龙的爪击，对目标及左右敌人造成<Demage>，并获得<#BuffCount#>【龙威】，（视为普攻）,"A claw strike by a baby dragon. Deal <Demage> to the target and its adjacent units, and gain <#BuffCount#> [Dragon's Presence] (counted as basic attacks)",幼い龍が爪で攻撃し、ターゲットとその隣接の敵に<Demage>ダメージを与える（通常攻撃としてみなす）。<#BuffCount#>「龍威」を得る。,Удар когтя дракончика. Наносит <Demage> цели и соседним юнитам и дает <#BuffCount#> [Присутствие дракона] (считается базовыми атаками).,어린 용의 발톱 공격으로 대상 및 좌우 적에게 <Demage>의 피해를 입히고 【용위】를 <#BuffCount#>만큼 획득합니다 (일반 공격으로 간주).
Card_Info/10071,幼龙的爪击，对目标及左右敌人造成<Demage>，并获得<#BuffCount#>【龙威】，（视为普攻）\n自身每层【龙威】伤害提高<$DemageUp$>%,"A claw strike by a baby dragon. Deal <Demage> to the target and adjacent units, gain <#BuffCount#> [Dragon's Presence] (as basic attacks)\nEach [Dragon's Presence] +<$DemageUp$>% damage",幼い龍が爪で攻撃し、ターゲットとその隣接の敵に<Demage>ダメージを与える（通常攻撃としてみなす）。<#BuffCount#>「龍威」を得る。\n「龍威」1ストックごとに自身の攻撃が<$DemageUp$>%増加する。,"Удар когтя дракончика. Наносит <Demage> цели и соседним юнитам, дает <#BuffCount#> [Присутствие дракона] (как базовые атаки).",어린 용의 발톱 공격으로 대상 및 좌우 적에게 <Demage>의 피해를 입히고 【용위】를 <#BuffCount#>만큼 획득합니다 (일반 공격으로 간주).\n자신이 보유한 【용위】 중첩당 피해량이 <$DemageUp$>% 증가합니다.
